,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
270,76651,9/2/2006 16:30,calgary (canada),ab,ca,cylinder,30.0,30 seconds,On Saturday afternoon&#44 Sept. 2&#44 when approaching my house in SW Calgary AB&#44 Canada&#44 I spotted an object flying west accross the sky. Wh,10/30/2006,51.083333,-114.08333300000001
271,76954,9/22/2007 03:30,cremona (15m northwest of) (canada),ab,ca,light,7200.0,2 hours,Bright fast and irratic moving light over cremona ab,10/8/2007,51.55,-114.46666699999999
272,77554,9/25/2001 22:00,red deer (canada),ab,ca,other,2.0,1-2 sec,Uniform dots of lights&#44 smooth&#44 quick&#44 unique&#44 straight line vector dissappearing into the sky.,10/12/2001,52.266667,-113.8
273,77713,9/25/2012 20:30,edmonton (canada),ab,ca,fireball,300.0,5 minutes,9 UFO in Edmonton Alberta seen by 3+me From a mechanical engineering student,5/15/2013,53.55,-113.5
274,77805,9/26/2004 22:50,camrose (canada),ab,ca,sphere,45.0,45 seconds,Slow moving light rises&#44 fades&#44 disapears&#44 then falls straight down.,9/29/2004,53.016667000000005,-112.816667
275,78088,9/27/2012 21:15,grande prairie (canada),ab,ca,sphere,20.0,20 seconds,5 burning red colored spheres moving to east in north sky from grande prairie,10/30/2012,55.166667000000004,-118.8
276,78480,9/29/2008 24:00,calgary (canada),ab,ca,light,600.0,10 min,lights over calgary,10/31/2008,51.083333,-114.08333300000001
277,78494,9/29/2011 00:00,sherwood park (canada),ab,ca,formation,8.0,8 seconds,large dim lights travelling in a straight line.,10/10/2011,53.516667000000005,-113.316667
278,78725,9/30/2005 23:30,grande prairie (canada),ab,ca,light,8.0,7 - 8 seconds,4 lights moving across the Grande Prairie Night Sky,10/11/2005,55.166667000000004,-118.8
279,78957,9/3/2009 18:15,red deer (canada),ab,ca,light,120.0,2 minutes,Redish flickering bright star in the sky&#44 where no stars that size and color are.,12/12/2009,52.266667,-113.8
280,79006,9/3/2011 21:55,lethbridge (canada),ab,ca,circle,8.0,5-8 seconds,5 glowing objects seen while watching an outdoor movie,10/10/2011,48.366667,-53.86666700000001
281,79127,9/4/2005 02:00,sherwood park (canada),ab,ca,teardrop,1800.0,30 minutes,bright light spinning around with flashing lights,9/15/2005,53.516667000000005,-113.316667
282,79306,9/5/2000 23:00,edmonton (canada),ab,ca,light,300.0,5 min,erratic light in the night sky,9/17/2000,53.55,-113.5
283,79576,9/6/2005 21:00,calgary (canada),ab,ca,oval,600.0,10 min.,OBJECTS HAD A STRANGE WHITE WITH INTERNAL RED AND BLUE ON 75% OF THE ONE OBJECT THE OTHER WAS TO FAR AWAY TO BE IDENTIFIEABLE. OBJECTS,10/11/2005,51.083333,-114.08333300000001
284,79583,9/6/2005 23:00,whitecourt (canada),ab,ca,light,5.0,5 seconds,From the East I saw 4 lights streaking across the sky moving in close proximity to one another.,10/11/2005,54.13333299999999,-115.683333
285,79884,9/8/1993 23:30,edmonton (canada),ab,ca,cigar,18000.0,4-5 hours,Lots of different ufo sightings and unexplainable pictures all in one long night.,1/16/2014,53.55,-113.5
286,80037,9/8/2011 18:00,spruce grove (canada),ab,ca,light,600.0,10 min.,very bright colors&#44 and multiple colors&#44 very fast moving.,10/10/2011,53.533333,-113.91666699999999
287,80318,9/9/2013 13:10,calmar (canada),ab,ca,unknown,90.0,45-90 seconds,Fastest dot I have ever seen in the sky&#33,9/9/2013,53.25,-113.78333300000001
